step strain stress33
0 0 -0.000454535182333217
100 0.0001 4068166.08450935
200 0.0002 7890251.91197485
300 0.0003 11301097.3260254
400 0.0004 14339193.5627178
500 0.0005 17079962.17758
600 0.0006 19550710.6858258
700 0.0007 21745877.7805506
800 0.0008 23671026.9626542
900 0.0009 25356973.3311338
1000 0.001 26859609.5580854
1100 0.0011 28266693.2900187
1200 0.0012 29700635.9222295
1300 0.0013 31308041.1253262
1400 0.0014 33239785.9398792
1500 0.0015 35616207.6653702
1600 0.0016 38474606.355132
1700 0.0017 41734510.5112388
1800 0.0018 45232049.5594262
1900 0.0019 48817522.8821442
2000 0.002 52433622.0363923
2100 0.0021 56097043.3239177
2200 0.0022 59804378.1088593
2300 0.0023 63465661.9874294
2400 0.0024 66931593.0041472
2500 0.0025 70068939.0665106
2600 0.0026 72801917.2167261
2700 0.0027 75111092.4280851
2800 0.0028 77037035.1341605
2900 0.0029 78691357.753366
3000 0.003 80230487.5567208
3100 0.0031 81793106.3573975
3200 0.0032 83460609.4110191
3300 0.0033 85267455.4793219
3400 0.0034 87228034.6317148
3500 0.0035 89359052.0176562
3600 0.0036 91708696.3059048
3700 0.0037 94372101.4815195
3800 0.0038 97445525.6384629
3900 0.0039 100938434.168233
4000 0.004 104735437.776242
4100 0.0041 108650617.122472
4200 0.0042 112509667.67963
4300 0.0043 116187550.188375
4400 0.0044 119608384.365191
4500 0.0045 122744348.942576
4600 0.0046 125608630.626713
4700 0.0047 128222846.939773
4800 0.0048 130580463.210361
4900 0.0049 132647972.29979
5000 0.005 134408436.951237
5100 0.0051 135908791.100602
5200 0.0052 137272901.210075
5300 0.0053 138675446.355284
5400 0.0054 140296697.271858
5500 0.0055 142276313.146981
5600 0.0056 144675961.893299
5700 0.0057 147467113.128206
5800 0.0058 150563542.79809
5900 0.0059 153884589.815739
6000 0.006 157393346.73301
6100 0.0061 161074209.811399
6200 0.0062 164883516.508986
6300 0.0063 168727587.609771
6400 0.0064 172473373.991987
6500 0.0065 175968879.512379
6600 0.0066 179077240.437047
6700 0.0067 181730497.980093
6800 0.0068 183961753.439663
6900 0.0069 185874190.893419
7000 0.007 187580069.784658
7100 0.0071 189174693.987365
7200 0.0072 190745810.329994
7300 0.0073 192372056.335441
7400 0.0074 194109562.896764
7500 0.0075 196006031.795306
7600 0.0076 198134276.70515
7700 0.0077 200589706.351623
7800 0.0078 203441331.769478
7900 0.0079 206689859.489798
