step strain stress33
0 0 -0.000730912593580685
100 0.0001 6582374.79914728
200 0.0002 12819848.2791654
300 0.0003 18471765.6272349
400 0.0004 23584405.0485059
500 0.0005 28240686.3351496
600 0.0006 32468610.6987329
700 0.0007 36287393.335677
800 0.0008 39745993.9614306
900 0.0009 42895431.2431391
1000 0.001 45768770.9494222
1100 0.0011 48405213.3582953
1200 0.0012 50879358.3678354
1300 0.0013 53318942.6263297
1400 0.0014 55919503.261041
1500 0.0015 58925004.3718824
1600 0.0016 62538989.4593482
1700 0.0017 66815943.002346
1800 0.0018 71639348.1916952
1900 0.0019 76821748.0263356
2000 0.002 82235117.7075352
2100 0.0021 87844697.5102599
2200 0.0022 93629176.2007444
2300 0.0023 99506925.0032317
2400 0.0024 105368295.452426
2500 0.0025 111148715.633091
2600 0.0026 116811693.503279
2700 0.0027 122259818.725632
2800 0.0028 127321530.813703
2900 0.0029 131853322.275842
3000 0.003 135828167.004827
3100 0.0031 139321152.310389
3200 0.0032 142452338.930834
3300 0.0033 145352108.310961
3400 0.0034 148130210.903287
3500 0.0035 150848580.28754
3600 0.0036 153551154.45732
3700 0.0037 156332435.438757
3800 0.0038 159342812.571413
3900 0.0039 162715452.028251
4000 0.004 166524029.300496
4100 0.0041 170819036.856631
4200 0.0042 175651588.081671
4300 0.0043 181022910.482423
4400 0.0044 186832650.366867
4500 0.0045 192907844.398386
4600 0.0046 199078579.860491
4700 0.0047 205217477.734693
4800 0.0048 211224839.372644
4900 0.0049 216998902.642631
5000 0.005 222427136.42523
5100 0.0051 227407237.370709
5200 0.0052 231878595.583021
5300 0.0053 235832025.718804
5400 0.0054 239292269.552784
5500 0.0055 242303530.346774
5600 0.0056 244941375.403706
5700 0.0057 247338799.833654
5800 0.0058 249697555.197354
5900 0.0059 252257181.503172
6000 0.006 255212594.084926
6100 0.0061 258632431.246501
6200 0.0062 262470421.834768
6300 0.0063 266673067.344001
6400 0.0064 271253575.081442
6500 0.0065 276241602.328727
6600 0.0066 281600351.461783
6700 0.0067 287241190.420345
6800 0.0068 293095696.895201
6900 0.0069 299114468.905648
7000 0.007 305195606.493025
7100 0.0071 311160705.892971
7200 0.0072 316812353.918017
7300 0.0073 321998588.406942
7400 0.0074 326645177.83448
7500 0.0075 330778093.772372
7600 0.0076 334520168.656797
7700 0.0077 338020469.435091
7800 0.0078 341360415.98385
7900 0.0079 344538096.146476
8000 0.008 347541978.829944
8100 0.0081 350415225.633044
8200 0.0082 353242795.049137
8300 0.0083 356108828.129174
8400 0.0084 359105072.787697
8500 0.0085 362383053.529107
8600 0.0086 366154998.124037
8700 0.0087 370588869.003573
8800 0.0088 375681825.247001
8900 0.0089 381253367.253896
9000 0.009 387070908.713112
9100 0.0091 392969259.095904
9200 0.0092 398864177.839027
9300 0.0093 404710749.167675
9400 0.0094 410480942.154043
9500 0.0095 416140531.547179
9600 0.0096 421602081.161866
9700 0.0097 426715635.981388
9800 0.0098 431334798.187048
9900 0.0099 435381171.675505
10000 0.01 438842681.123491
10100 0.0101 441763972.845479
10200 0.0102 444285013.644602
10300 0.0103 446654401.192002
10400 0.0104 449137750.755391
10500 0.0105 451897177.130931
