# Time-averaged data for fix react_f
# TimeStep f_wallbot[1] f_walltop[1]
0 -1.69728e+20 1.69728e+20
100 -3.40216e+06 3.40216e+06
200 -2.46425e+06 2.46425e+06
300 -1.53265e+06 1.53265e+06
400 -861073 861073
500 -448901 448901
600 -216068 216068
700 -90269.2 90269.2
800 -24011.6 24011.6
900 10269.8 -10269.8
1000 27697.5 -27697.5
1100 36335.5 -36335.5
1200 40415.3 -40415.3
1300 42134.9 -42134.9
1400 42631.1 -42631.1
1500 42491.4 -42491.4
1600 42021.4 -42021.4
1700 41383.1 -41383.1
1800 40059.8 -40059.8
1900 39293.4 -39293.4
2000 38580.2 -38580.2
2100 37877.3 -37877.3
2200 37194.6 -37194.6
2300 36532.2 -36532.2
2400 35889.1 -35889.1
2500 35249 -35249
2600 34607.8 -34607.8
2700 33966.2 -33966.2
2800 33324.5 -33324.5
2900 32684.2 -32684.2
3000 32047.5 -32047.5
3100 31416.4 -31416.4
3200 30793.2 -30793.2
3300 30180.4 -30180.4
3400 29580.2 -29580.2
3500 28994.3 -28994.3
3600 28423.7 -28423.7
3700 27869.2 -27869.2
3800 27331.1 -27331.1
3900 26809 -26809
4000 26302.1 -26302.1
4100 25809.4 -25809.4
4200 25329.1 -25329.1
4300 24859.2 -24859.2
4400 24397.7 -24397.7
4500 23941.9 -23941.9
4600 23489.4 -23489.4
4700 23037.5 -23037.5
4800 22583.7 -22583.7
4900 22125.6 -22125.6
5000 21660.9 -21660.9
5100 21187.9 -21187.9
5200 20704.9 -20704.9
5300 20210.9 -20210.9
5400 19705.3 -19705.3
5500 19187.9 -19187.9
5600 18659.4 -18659.4
5700 18120.5 -18120.5
5800 17572.6 -17572.6
5900 17017.6 -17017.6
6000 16457.8 -16457.8
6100 15895.8 -15895.8
6200 15335 -15335
6300 14778.8 -14778.8
6400 14231.2 -14231.2
6500 13695.7 -13695.7
6600 13176.2 -13176.2
6700 12676.4 -12676.4
6800 12200 -12200
6900 11750.1 -11750.1
7000 11329.7 -11329.7
7100 10941.4 -10941.4
7200 10587.1 -10587.1
7300 10268.2 -10268.2
7400 9985.47 -9985.47
7500 9739.14 -9739.14
7600 9526.76 -9526.76
7700 9347.26 -9347.26
7800 9205.3 -9205.3
7900 9094.43 -9094.43
8000 9011.96 -9011.96
8100 8954.82 -8954.82
8200 8919.55 -8919.55
8300 8902.43 -8902.43
8400 8899.56 -8899.56
8500 8906.96 -8906.96
8600 8920.66 -8920.66
8700 8936.79 -8936.79
8800 8951.72 -8951.72
8900 8962.09 -8962.09
9000 8964.93 -8964.93
9100 8957.74 -8957.74
9200 8938.62 -8938.62
9300 8906.23 -8906.23
9400 8859.71 -8859.71
9500 8798.83 -8798.83
9600 8723.93 -8723.93
9700 8635.94 -8635.94
9800 8536.29 -8536.29
9900 8426.86 -8426.86
10000 8309.94 -8309.94
10100 8188.11 -8188.11
10200 8064.17 -8064.17
10300 7941.02 -7941.02
10400 7821.6 -7821.6
10500 7708.79 -7708.79
10600 7605.31 -7605.31
10700 7513.68 -7513.68
10800 7436.14 -7436.14
10900 7374.6 -7374.6
11000 7330.6 -7330.6
11100 7305.31 -7305.31
11200 7299.48 -7299.48
11300 7313.5 -7313.5
11400 7347.47 -7347.47
11500 7401.01 -7401.01
11600 7473.3 -7473.3
11700 7563.22 -7563.22
11800 7669.33 -7669.33
11900 7789.9 -7789.9
12000 7922.98 -7922.98
12100 8066.41 -8066.41
12200 8217.89 -8217.89
12300 8374.97 -8374.97
12400 8535.11 -8535.11
12500 8695.74 -8695.74
12600 8854.31 -8854.31
12700 9008.34 -9008.34
12800 9155.49 -9155.49
12900 9293.6 -9293.6
13000 9420.73 -9420.73
13100 9535.25 -9535.25
13200 9636 -9636
13300 9722.06 -9722.06
13400 9792.83 -9792.83
13500 9848.12 -9848.12
13600 9888.14 -9888.14
13700 9913.47 -9913.47
13800 9925.07 -9925.07
13900 9924.2 -9924.2
14000 9912.39 -9912.39
14100 9891.38 -9891.38
14200 9863.18 -9863.18
14300 9830.03 -9830.03
14400 9793.85 -9793.85
14500 9756.45 -9756.45
14600 9719.47 -9719.47
14700 9684.24 -9684.24
14800 9651.86 -9651.86
14900 9623.21 -9623.21
15000 9598.91 -9598.91
15100 9579.11 -9579.11
15200 9563.58 -9563.58
15300 9551.8 -9551.8
15400 9542.95 -9542.95
15500 9535.67 -9535.67
15600 9528.67 -9528.67
15700 9520.62 -9520.62
15800 9510.14 -9510.14
15900 9495.82 -9495.82
16000 9476.61 -9476.61
16100 9451.34 -9451.34
16200 9418.83 -9418.83
16300 9378.06 -9378.06
16400 9328.17 -9328.17
16500 9268.55 -9268.55
16600 9198.77 -9198.77
16700 9118.61 -9118.61
16800 9027.97 -9027.97
16900 8927.26 -8927.26
17000 8817.08 -8817.08
17100 8698.16 -8698.16
17200 8571.45 -8571.45
17300 8438.04 -8438.04
17400 8299.16 -8299.16
17500 8156.14 -8156.14
17600 8010.34 -8010.34
17700 7863.11 -7863.11
17800 7715.73 -7715.73
17900 7569.35 -7569.35
18000 7425.14 -7425.14
18100 7283.8 -7283.8
18200 7145.39 -7145.39
18300 7009.32 -7009.32
18400 6874.21 -6874.21
18500 6737.76 -6737.76
18600 6596.6 -6596.6
18700 6446.29 -6446.29
18800 6280.96 -6280.96
18900 6093.34 -6093.34
19000 5874.49 -5874.49
19100 5613.79 -5613.79
19200 5299.47 -5299.47
19300 4918.38 -4918.38
19400 4456.15 -4456.15
19500 3897.31 -3897.31
19600 3225.77 -3225.77
19700 2425.37 -2425.37
19800 1480.8 -1480.8
19900 378.808 -378.808
20000 -890.163 890.163
20100 -2329.9 2329.9
20200 -3936.03 3936.03
20300 -5693.39 5693.39
20400 -7573.56 7573.56
20500 -9533.01 9533.01
20600 -11512.5 11512.5
20700 -13438.5 13438.5
20800 -15227.3 15227.3
20900 -16791.7 16791.7
21000 -18049.4 18049.4
21100 -18933.1 18933.1
